ID;Year;Count;A_use;A_floor;A_glass;UA_floor;UA_transm;UA_exch;UA_vent;C_in;C_out;qv10
vrijst < 1946;1920;417794,5941;153,28;89,59;28,36;109,6713529;442,9382394;766,4;104,06375;24892672;74678016;461,1991398
vrijst 1946 - 1964;1955;417794,5941;153,28;89,59;28,36;109,6713529;442,9382394;766,4;104,06375;24892672;74678016;461,1991398
vrijst 1965 - 1974;1970;128491,0806;174,92;112,9;38,08;167,9118117;316,7123885;874,6;95,89615497;28407008;85221024;405,7347403
vrijst 1975 - 1991;1983;200817,945;161;93;31,39;89,42307692;254,5825226;805;64,81859906;26146400;78439200;194,6936725
vrijst 1992 - 2005;1998;196026,5668;178,6;101,46;39,06;33,59602653;204,804138;893;51,03179301;29004640;87013920;101,070407
vrijst 2006 - 2012;2009;54555,93077;198,48;109;36,31;36,09271527;191,0831032;992,4;46,6603939;32233152;96699456;71,38516601
vrijst > 2012;2016;42524,51745;202,45;99,3;44,78;24,70149255;157,7452933;1012,25;44,96073027;32877880;98633640;59,843112
2_1kap < 1946;1920;329777,2984;122,885;66,58;22,925;94,4992557;305,8408597;614,425;99,24012057;19956524;59869572;428,442899
2_1kap 1946 - 1964;1955;329777,2984;122,885;66,58;22,925;94,4992557;305,8408597;614,425;99,24012057;19956524;59869572;428,442899
2_1kap 1965 - 1974;1970;101381,4412;133,985;61,45;30,185;90,88880533;202,5319781;669,925;90,81563607;21759164;65277492;371,2340178
2_1kap 1975 - 1991;1983;216977,1082;129,8;61,4;24,23;59,03846154;182,2782309;649;62,83215259;21079520;63238560;181,2041373
2_1kap 1992 - 2005;1998;152248,012;143,9;68,95;27,225;22,83112585;148,8061933;719,5;49,99771365;23369360;70108080;94,04819413
2_1kap 2006 - 2012;2009;56116,5908;153,06;68,88;28,01;22,80794704;135,9381877;765,3;45,78816627;24856944;74570832;65,46205376
2_1kap > 2012;2016;26732,81976;145,79;61,51;28,1;15,30099504;110,1278928;728,95;44,04718641;23676296;71028888;53,63943009
hoek < 1946;1920;124954,125;110,75;54,15;21,32;80,82089552;330,8851285;553,75;97,09095277;17985800;53957400;413,8483579
hoek 1946 - 1964;1955;136255,7635;100,9;46,6;20,1;69,5522388;207,4577759;504,5;95,22784917;16386160;49158480;401,1964179
hoek 1965 - 1974;1970;251112,1342;115,96;50;26,6;74,62686567;195,3145308;579,8;88,24520617;18831904;56495712;353,7787754
